address,tx_count,unique_counterparties,total_received_ada,first_epoch,last_epoch,epoch_span,exchange_confidence
DdzFFzCqrhsuguEYBr75SddfV7Fmyio38SMYpCKH7UodSRJnMift4WsYDr69jjoyy54CJL6Yh21ok87P4nF1wFr6RyKvbPyMLe1AXG2E,1074,867,241252379.82340000,44,180,136,HIGH
DdzFFzCqrhswxAYEbi1qnKPtgMRCpgnEQgwr9vH8877fHr11apjfb6YA9cnmUy125RLk6dmSMW8nz5ZkCX9Spz4AtTa1t8pBuA2V3L9n,1070,887,7515799.499868000000,125,191,66,HIGH
DdzFFzCqrht2EpmVRsDBbzepWekEUbF5tKrGMRSgmwe5sfFuRmaGsygDXJCYZqWnS3FYNewVaSSmaMc9yiWk3MfFHA1UjWK3rPsTguk3,1049,779,335059059.11062000,171,205,34,HIGH
DdzFFzCqrhtABja3UoenCym2c2SgT1XPdsHWtb5ZVDP2Kd6x2y4r6SBxY2zrYyFprLjDbAYWBg2znAwfqWaJde9Gfj6jqRJLKUVhLd83,1047,1708,57867902.000000000000,188,207,19,HIGH
DdzFFzCqrhsmMxssT3wgEzRnH9WRdwbWu3pNvxv8v3ddxxHrtHF2itWPJEYC2YgNmm58VX78YMfHMyMwokneT8SzUHbR1LrbWeJ3rVAW,1043,237,15636939.641772000000,168,172,4,HIGH
DdzFFzCqrht4UqBgnRW858USXemHN8YehFKbvatsqqCLXsLFmy1miJAihTTcLR4oGhn86NFTs7StcLWSDjGdAxdnSCaTP7jVyGQDFHdt,1029,620,864333.177178000000,106,206,100,HIGH
DdzFFzCqrhsyUJMq2ysUhLwoStdzEmywKhnpa3mGyH9vnX2NvCQTRnZQTKiVJgDXx3uBDHt4BpRhdg9sJmuuZH16ApBHQzSDwpGrmTD1,1024,2758,1530795.139962000000,168,205,37,HIGH
DdzFFzCqrhsegE9H92jxSgEHv3W4mSLWq5ELTJiK4DTnZ8frf4squEQmFbvzjTeUsMiLe287qUZSsb8USXhf5i7WR5DTbJuSUfLEFu1q,1015,362,41806319.289908000000,13,24,11,HIGH
DdzFFzCqrht8DJiEqFtmsaU9oTX9k927ukaTyanLHCGNUkFeJERVLFrzH7tnsCy8WfdczXuficC7La6CMunAgBj5d82tXKMbgBarb8tr,1009,82,311360725.29201600,134,139,5,MEDIUM
DdzFFzCqrhsw5HgsW2KZbF1Sd77joGVLHU7rKFv1PyA1xwvegTKANyozmHUzNk1ZGSpVgECKfHDSfa43XBG1trVyNvih8z4HPkSfuwTG,1000,633,20901099.279943000000,176,207,31,MEDIUM
DdzFFzCqrhssbF95td97aH9m3qtczpSvoeEee4LBAHCaNVGukmWxqMFm2m9KoVguTxp1QSHwMhsC4pjQha6w8VHQhiGwFnjbYLFAPHXY,985,780,1936299.210357000000,164,200,36,MEDIUM
DdzFFzCqrhsoVf3kMyQtNLkQ9EAwnTtmCXn325RFHfiiGV2WNCWmHYEYx3wq6UDpi1uduSeR44ce8qtKmrr7TAa9qJNVe5jMKqjGC5qb,952,1190,102220413.74070000,42,72,30,MEDIUM
DdzFFzCqrhspBYVmLdd5jt8rSBBtN8n3g4Zu1EbH1dyPuTj36b8sVs6y1D1hKyh5GjGPBawfgMWEdxcPKHYLcFTxj4eQZ7vxo7Bx1L9P,931,1816,202988661.92439900,5,55,50,MEDIUM
